Frank,Santoro,,N8
Frank,Gibson,,W30
Frans,Boukas,,F13
Fred,Noland,,W73
Frederik,Peeters,,W21-22
G.E.,Gallas,,I5
G.W.,Duncanson,,K5
Gale,Galligan,,W82
Gemma,Correll,,W69
Geoff,Vasile,,W73
Geoff,Lapid,,W76-78
Gina,Wynbrandt,,A10
Georgia,Webber,,"E12, D7B"
Ginette,Montoya,,J1A
Glenda,Villajuan,,I4
Greg,Means,Tugboat Press,N2
Gregory,Benton,,W35
H.,McGill,,I2
H. Lela,Graham,,W32
Haleigh,Buck,,J7
Hallie,Burrier,,W5
Harris,Smith,,K5
Hazel,Newlevant,,D10B
Heath,Walkemeyer,,J6
Hic & Hoc Publications,,,M4
Hidden Fortress Press,,,K2
Hiro,Mcl,,H13A
Acacia,Hope,,I6
ian,densford,,G5B
Ian,Harker,Secret Prison,M5B
Ian,Black,,W48
Iasmin Omar,Aata,,A4
Idiot Books,,,D2-3
Ignatz Voting,,IGNATZ TABLE,W80
Iona,Fox,,B13A
Isaac,Cates,,E3-4A
Isaac,Klunk,,I7A
Isabella,Rotman,,D13
Isabelle,Melanon,,M11
J. Chris,Campbell,,G4
J.M.,Dragunas,,W49
J.T.,Yost,,E14
J.T.,Dockery,,N6A
Jacob Monir,Canfield,,B9
Jaime,Willems,,L10A
Jaimel,Hemphill,NPC Comics,W37
James,Turner,,G6
Jamie,Vayda,,E14
Jane,Sands,,L12B-13A
Janna,Morton,,G6
Jared,Smith,,D8
Jared,Cullum,,G5A
Jason,Viola,,E9B
Jason,Green,Ink and Drink Comics,F3
Jason,Leivian,Floating World Comics / Study Group,J8-9
Jason,Fischer,,J8-9
Jason,Axtell,,W10-15
Jason,Rodriguez,,W10-15
Jason,Little,,W20
Jay,Hosler,,I13
Jaye,Collins,,E6
JD,Glass,,F4
Jeanne,D’Angelo,,F12
Jeff,Whitman,NBM Graphic Novels,E1-2
Jeff,Zwirek,,E13
Jeff,Sharp,,K7
Jeff,Rowland,The Topatoco Corporation,"W23-25, W28-29"
Jen,Tong,,K14B
Jenn,Woodall,,H7B
Jenna,Workman,,B8A
Jennie,Gross,,W48
Jennifer,Weber,,E6
Jennifer,Steiner,,J10
Jennifer,Hayden,,W64-67
Jenny Goldstick,,,F2
Jensine,Eckwall,,C13
Jeremy,Tinder,,E12
Jeremy,Whitley,Action Lab Comics,F9
Jeremy,Baum,,W56-61
Jeremy,Sorese,,W76-78
Jess,Fink,,C10
Jess,Worby,,W75
Jess Smart,Smiley,,W64-67
Jesse,Mead,,H4
Jessi,Zabarsky,,N13
Jessica,Abel,,W84-87
Jim,Coon,,F14A
Jim,Safley,,I11A
Jim,Rugg,,N9
